X,Y,Z
-38,656,-852
-33,653,-865
-48,646,-865
-23,658,-867
-26,653,-862
-18,648,-855
-16,646,-855
-8,633,-852
0,643,-837
0,628,-857
-1,656,-827
0,628,-855
8,628,-860
0,625,-850
-11,612,-865
16,638,-837
11,600,-896
71,612,-862
61,580,-862
91,582,-867
81,575,-870
96,567,-865
88,558,-877
91,565,-867
96,551,-860
107,541,-870
120,561,-855
132,541,-855
130,558,-842
125,538,-837
125,528,-867
140,531,-837
130,503,-901
152,513,-870
140,501,-872
160,500,-870
167,480,-870
182,475,-880
202,465,-852
213,447,-855
211,452,-855
218,447,-870
226,423,-877
243,433,-847
276,431,-847
291,433,-825
281,398,-850
291,403,-806
311,401,-827
286,393,-827
291,372,-835
298,391,-827
313,401,-798
281,347,-887
313,362,-850
301,320,-872
316,335,-847
317,327,-837
342,317,-845
317,313,-847
325,317,-850
342,317,-830
325,288,-857
327,286,-825
322,258,-847
332,276,-837
342,263,-825
332,242,-832
337,247,-812
332,215,-827
325,210,-857
332,192,-852
327,230,-837
360,232,-786
345,205,-850
340,173,-875
340,173,-857
340,168,-855
345,151,-850
360,131,-842
350,120,-842
365,122,-840
372,105,-832
375,77,-835
360,58,-825
410,80,-812
395,53,-806
400,48,-803
385,28,-812
382,33,-798
395,8,-825
375,0,-835
377,-21,-827
400,-11,-801
380,-38,-820
372,-53,-820
372,-62,-817
372,-65,-812
392,-75,-815
380,-77,-827
370,-77,-801
367,-105,-812
362,-125,-791
372,-122,-781
362,-146,-812
385,-146,-771
380,-143,-766
347,-168,-793
335,-163,-806
345,-181,-812
335,-186,-746
332,-215,-830
308,-207,-827
306,-212,-825
303,-210,-822
293,-225,-825
283,-245,-847
306,-235,-837
278,-256,-842
308,-240,-812
278,-261,-820
261,-276,-817
273,-283,-808
261,-286,-825
256,-303,-803
241,-311,-815
241,-306,-793
202,-317,-860
197,-335,-845
218,-340,-827
192,-357,-825
187,-372,-781
192,-365,-820
195,-383,-827
202,-378,-825
182,-406,-837
172,-391,-822
187,-393,-822
187,-396,-812
152,-428,-822
167,-411,-793
155,-428,-812
155,-426,-793
157,-431,-812
140,-418,-820
145,-428,-801
125,-438,-796
120,-462,-796
101,-450,-840
105,-436,-822
96,-455,-835
96,-460,-842
91,-465,-827
76,-465,-835
91,-475,-820
81,-462,-837
88,-462,-840
68,-470,-822
66,-470,-825
13,-503,-857
26,-485,-827
33,-477,-832
18,-472,-835
3,-482,-835
-11,-470,-830
0,-457,-830
,,
-3,-462,-867
-8,-457,-860
0,-445,-832
-21,-457,-885
-28,-445,-882
-23,-436,-880
-18,-431,-877
-31,-423,-893
-3,-416,-882
-23,-411,-880
-21,-421,-877
-26,-426,-870
-26,-436,-882
-13,-457,-847
-31,-455,-857
-31,-452,-855
-33,-467,-855
-41,-470,-847
-46,-462,-842
-46,-465,-887
-86,-477,-906
-91,-452,-882
-61,-455,-877
-61,-462,-827
-83,-457,-890
-88,-462,-913
-98,-482,-908
-98,-450,-896
-112,-462,-898
-140,-462,-875
-165,-447,-865
-197,-465,-903
-223,-457,-913
-251,-455,-913
-268,-472,-893
-268,-445,-896
-293,-462,-903
-286,-438,-875
-322,-423,-928
-316,-433,-872
-357,-421,-936
-362,-416,-948
-365,-408,-941
-382,-406,-916
-420,-413,-941
-410,-398,-921
-426,-403,-951
-433,-388,-941
-443,-372,-921
-463,-381,-946
-471,-372,-913
-473,-372,-931
-501,-355,-943
-493,-347,-918
-526,-345,-936
-518,-345,-926
-508,-357,-908
-521,-322,-961
-511,-313,-953
-513,-335,-943
-518,-342,-918
-518,-315,-946
-532,-306,-948
